,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:0.05% 本金:1000412.075,每次換手最大報酬 : 16.24%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1007713.005,每次換手最小報酬 : -16.43%,2015-01-06,0.991783233395882,-0.8216766604117964,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
2,2015-02-11-2015-03-11 報酬率:5.97% 本金:1055022.27,,2015-01-07,1.006256117128332,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
3,2015-03-11-2015-04-01 報酬率:4.03% 本金:1088316.115,,2015-01-08,1.0036730181744669,-0.25670392556089716,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
4,2015-04-01-2015-04-11 報酬率:2.72% 本金:1113123.875,,2015-01-12,1.0005375528182356,-0.5683010729332083,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
5,2015-04-11-2015-05-16 報酬率:-0.35% 本金:1109783.8250000002,,2015-01-13,0.9995324668029322,-0.6681847902289317,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
6,2015-05-16-2015-06-11 報酬率:2.97% 本金:1138073.3720000002,,2015-01-14,1.004337303215703,-0.19068842215884674,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
7,2015-06-11-2015-07-11 報酬率:-0.1% 本金:1137081.5220000003,,2015-01-15,1.0042727695553608,-0.19710166618726044,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
8,2015-07-11-2015-08-15 報酬率:-5.06% 本金:1086380.8280000002,,2015-01-16,0.9938604151358571,-1.231863516800269,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
9,2015-08-15-2015-09-11 報酬率:3.28% 本金:1117575.2680000002,,2015-01-19,0.9855829239929009,-2.0544663315367973,3264,79.0,26.75,27.2,26.25,27.2,2015-01-05,2015-01-09,1.6822429906542036
10,2015-09-11-2015-10-11 報酬率:5.79% 本金:1172863.3990000002,,2015-01-20,0.9974430774691578,-0.875824703985395,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
11,2015-10-11-2015-11-15 報酬率:10.41% 本金:1285146.7000000002,,2015-01-21,1.0005082222930088,-0.5712158900187947,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003
12,2015-11-15-2015-12-11 報酬率:0.66% 本金:1292822.1700000002,,2015-01-22,1.0233186585412233,0.0,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247
13,2015-12-11-2016-01-11 報酬率:-0.13% 本金:1291241.5650000002,,2015-01-23,1.0206980527234448,-0.2560889314296544,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984
14,2016-01-11-2016-02-11 報酬率:3.53% 本金:1332614.93,,2015-01-26,1.0185174285895904,-0.46918229346831763,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326
15,2016-02-11-2016-03-11 報酬率:9.85% 本金:1451514.28,,2015-01-27,1.0233019358121673,-0.001634166338737586,1104,82.0,26.0,26.65,26.0,27.9,2015-01-12,2015-02-11,2.499999999999991
16,2016-03-11-2016-04-01 報酬率:-1.4% 本金:1433844.74,,2015-01-28,1.0223912185993878,-0.09063060993704797,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457
17,2016-04-01-2016-04-11 報酬率:0.43% 本金:1439689.945,,2015-01-29,1.0163526615147818,-0.6807260835419382,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524
18,2016-04-11-2016-05-16 報酬率:-1.39% 本金:1421054.215,,2015-01-30,1.0148530196672805,-0.8272729909968524,1535,81.0,69.1,66.6,66.5,69.1,2015-01-12,2015-02-11,-3.61794500723589
19,2016-05-16-2016-06-11 報酬率:7.67% 本金:1519450.344,,2015-02-02,1.0107072447933203,-1.2324033811599744,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066
20,2016-06-11-2016-07-11 報酬率:7.13% 本金:1614764.184,,2015-02-03,1.0125698300397616,-1.0503891834420798,8249,87.0,25.4,25.4,25.3,26.2,2015-02-11,2015-03-11,0.0
21,2016-07-11-2016-08-15 報酬率:1.0% 本金:1629042.184,,2015-02-04,1.0140304446680808,-0.9076560654511234,8213,85.0,52.4,55.0,52.4,56.0,2015-02-11,2015-03-11,4.961832061068705
22,2016-08-15-2016-09-11 報酬率:-0.69% 本金:1618856.4729999998,,2015-02-05,1.0196293619403924,-0.36052275310703985,3105,83.0,34.35,41.0,33.75,41.0,2015-02-11,2015-03-11,19.359534206695784
23,2016-09-11-2016-10-11 報酬率:4.84% 本金:1689365.5929999999,,2015-02-06,1.0180159409059986,-0.5181883073239302,8182,83.0,18.6,18.25,18.05,19.15,2015-02-11,2015-03-11,-1.8817204301075363
24,2016-10-11-2016-11-15 報酬率:-4.05% 本金:1629980.443,,2015-02-09,1.0094806262017397,-1.3522701090206035,2010,83.0,11.55,11.65,11.5,11.7,2015-02-11,2015-03-11,0.8658008658008587
25,2016-11-15-2016-12-11 報酬率:5.32% 本金:1709807.0429999998,,2015-02-10,1.0093780017944183,-1.362298696544617,2428,83.0,46.4,47.45,45.9,48.1,2015-02-11,2015-03-11,2.2629310344827624
