,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.13% 本金:998929.385,每次換手最大報酬 : 15.61%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1006230.3150000001,每次換手最小報酬 : -15.36%,2015-01-06,0.9905754691974638,-0.9424530802536246,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
2,2015-02-11-2015-03-11 報酬率:5.97% 本金:1053539.58,,2015-01-07,1.0042479695127078,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
3,2015-03-11-2015-04-01 報酬率:4.17% 本金:1087112.25,,2015-01-08,1.0031817648794754,-0.10616945869950101,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
4,2015-04-01-2015-04-11 報酬率:2.72% 本金:1111920.0100000002,,2015-01-12,0.9987271046993765,-0.5497511551863177,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
5,2015-04-11-2015-05-16 報酬率:-0.35% 本金:1108579.9600000004,,2015-01-13,0.9977238373625231,-0.6496535067280651,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
6,2015-05-16-2015-06-11 報酬率:1.45% 本金:1122536.3550000004,,2015-01-14,1.0025199795418587,-0.17206805722371765,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
7,2015-06-11-2015-07-11 報酬率:-2.75% 本金:1095439.2300000004,,2015-01-15,1.0024555626535891,-0.17848249770306968,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
8,2015-07-11-2015-08-15 報酬率:-5.06% 本金:1045146.3720000004,,2015-01-16,0.9920620491335788,-1.2134373928624376,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
9,2015-08-15-2015-09-11 報酬率:3.28% 本金:1075632.3320000004,,2015-01-19,0.9837995359074697,-2.0361936718836793,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665
10,2015-09-11-2015-10-11 報酬率:6.8% 本金:1141380.8520000004,,2015-01-20,0.9956382287274124,-0.8573321576615278,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
11,2015-10-11-2015-11-15 報酬率:10.41% 本金:1251210.5160000005,,2015-01-21,0.9986978272470146,-0.5526665160584088,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003
12,2015-11-15-2015-12-11 報酬率:0.66% 本金:1258485.3660000004,,2015-01-22,1.0214669885712846,0.0,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984
13,2015-12-11-2016-01-11 報酬率:-0.76% 本金:1249635.1660000004,,2015-01-23,1.0188511246753458,-0.2560889314296544,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326
14,2016-01-11-2016-02-11 報酬率:3.67% 本金:1290115.2660000003,,2015-01-26,1.0166744463272843,-0.46918229346829543,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247
15,2016-02-11-2016-03-11 報酬率:6.1% 本金:1358868.3660000002,,2015-01-27,1.021450296101596,-0.001634166338737586,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457
16,2016-03-11-2016-04-01 報酬率:-0.13% 本金:1357278.7910000002,,2015-01-28,1.0205412268092369,-0.09063060993704797,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524
17,2016-04-01-2016-04-11 報酬率:0.43% 本金:1362347.8460000001,,2015-01-29,1.01451359634531,-0.6807260835418938,1104,82.0,26.0,26.65,26.0,27.9,2015-01-12,2015-02-11,2.499999999999991
18,2016-04-11-2016-05-16 報酬率:-1.39% 本金:1345079.8760000002,,2015-01-30,1.0130166680628858,-0.8272729909968191,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066
19,2016-05-16-2016-06-11 報酬率:6.87% 本金:1431761.414,,2015-02-02,1.0088783948666993,-1.2324033811599633,1535,81.0,69.1,66.6,66.5,69.1,2015-01-12,2015-02-11,-3.61794500723589
20,2016-06-11-2016-07-11 報酬率:7.13% 本金:1524597.579,,2015-02-03,1.0107376098109,-1.050389183442102,8249,87.0,25.4,25.4,25.3,26.2,2015-02-11,2015-03-11,0.0
21,2016-07-11-2016-08-15 報酬率:3.06% 本金:1568237.7689999999,,2015-02-04,1.0121955814929362,-0.9076560654511456,8213,85.0,52.4,55.0,52.4,56.0,2015-02-11,2015-03-11,4.961832061068705
22,2016-08-15-2016-09-11 報酬率:-0.69% 本金:1558247.6729999997,,2015-02-05,1.0177843676620077,-0.36052275310705095,3105,83.0,34.35,41.0,33.75,41.0,2015-02-11,2015-03-11,19.359534206695784
23,2016-09-11-2016-10-11 報酬率:4.84% 本金:1627266.0729999996,,2015-02-06,1.0161738660733344,-0.5181883073239302,8182,83.0,18.6,18.25,18.05,19.15,2015-02-11,2015-03-11,-1.8817204301075363
