,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.13% 本金:998929.385,每次換手最大報酬 : 16.22%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1006230.3150000001,每次換手最小報酬 : -15.42%,2015-01-06,0.9905754691974638,-0.9424530802536246,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
2,2015-02-11-2015-03-11 報酬率:5.97% 本金:1053539.58,,2015-01-07,1.0042479695127078,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
3,2015-03-11-2015-04-01 報酬率:3.17% 本金:1079203.9000000001,,2015-01-08,1.0031817648794754,-0.10616945869950101,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
4,2015-04-01-2015-04-11 報酬率:1.87% 本金:1095384.0750000002,,2015-01-12,0.9987271046993765,-0.5497511551863177,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
5,2015-04-11-2015-05-16 報酬率:-0.35% 本金:1092044.0250000004,,2015-01-13,0.9977238373625231,-0.6496535067280651,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
6,2015-05-16-2015-06-11 報酬率:2.97% 本金:1119028.2570000004,,2015-01-14,1.0025199795418587,-0.17206805722371765,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
7,2015-06-11-2015-07-11 報酬率:-2.36% 本金:1095790.5170000005,,2015-01-15,1.0024555626535891,-0.17848249770306968,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
8,2015-07-11-2015-08-15 報酬率:-5.06% 本金:1045497.6590000005,,2015-01-16,0.9920620491335785,-1.2134373928624598,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
9,2015-08-15-2015-09-11 報酬率:3.28% 本金:1075983.6190000004,,2015-01-19,0.9837995359074697,-2.0361936718836793,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665
10,2015-09-11-2015-10-11 報酬率:6.8% 本金:1141732.1390000004,,2015-01-20,0.9956382287274124,-0.8573321576615278,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
11,2015-10-11-2015-11-15 報酬率:9.96% 本金:1246306.1630000004,,2015-01-21,0.9986978272470146,-0.5526665160584088,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003
12,2015-11-15-2015-12-11 報酬率:0.66% 本金:1253581.0130000003,,2015-01-22,1.0214669885712848,0.0,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984
13,2015-12-11-2016-01-11 報酬率:-0.76% 本金:1245106.2530000003,,2015-01-23,1.0188511246753458,-0.2560889314296655,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247
14,2016-01-11-2016-02-11 報酬率:3.94% 本金:1286277.2830000003,,2015-01-26,1.016674446327284,-0.46918229346833984,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326
15,2016-02-11-2016-03-11 報酬率:8.65% 本金:1385341.4080000003,,2015-01-27,1.021450296101596,-0.0016341663387486882,1104,82.0,26.0,26.65,26.0,27.9,2015-01-12,2015-02-11,2.499999999999991
16,2016-03-11-2016-04-01 報酬率:-0.5% 本金:1379027.9080000003,,2015-01-28,1.0205412268092369,-0.09063060993707017,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457
17,2016-04-01-2016-04-11 報酬率:0.43% 本金:1384246.1730000002,,2015-01-29,1.0145135963453098,-0.6807260835419271,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524
18,2016-04-11-2016-05-16 報酬率:-1.39% 本金:1366704.3730000001,,2015-01-30,1.0130166680628856,-0.8272729909968635,1535,81.0,69.1,66.6,66.5,69.1,2015-01-12,2015-02-11,-3.61794500723589
19,2016-05-16-2016-06-11 報酬率:7.47% 本金:1461332.0920000002,,2015-02-02,1.0088783948666993,-1.2324033811599744,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066
20,2016-06-11-2016-07-11 報酬率:6.19% 本金:1543012.2370000002,,2015-02-03,1.0107376098109002,-1.050389183442102,8249,87.0,25.4,25.4,25.3,26.2,2015-02-11,2015-03-11,0.0
21,2016-07-11-2016-08-15 報酬率:3.06% 本金:1586652.4270000001,,2015-02-04,1.0121955814929364,-0.9076560654511456,8213,85.0,52.4,55.0,52.4,56.0,2015-02-11,2015-03-11,4.961832061068705
22,2016-08-15-2016-09-11 報酬率:-0.69% 本金:1576662.331,,2015-02-05,1.0177843676620077,-0.36052275310707316,3105,83.0,34.35,41.0,33.75,41.0,2015-02-11,2015-03-11,19.359534206695784
23,2016-09-11-2016-10-11 報酬率:4.84% 本金:1646314.771,,2015-02-06,1.0161738660733344,-0.5181883073239524,8182,83.0,18.6,18.25,18.05,19.15,2015-02-11,2015-03-11,-1.8817204301075363
24,2016-10-11-2016-11-15 報酬率:-4.06% 本金:1585548.751,,2015-02-09,1.0076539958113222,-1.3522701090206257,2010,83.0,11.55,11.65,11.5,11.7,2015-02-11,2015-03-11,0.8658008658008587
25,2016-11-15-2016-12-11 報酬率:5.32% 本金:1664021.4109999998,,2015-02-10,1.0075515571003444,-1.3622986965446393,2428,83.0,46.4,47.45,45.9,48.1,2015-02-11,2015-03-11,2.2629310344827624
26,2016-12-11-2017-01-11 報酬率:2.08% 本金:1696204.2109999997,,2015-02-11,1.0077772740476538,-1.3402013649778999,2383,83.0,43.7,49.7,43.7,49.7,2015-02-11,2015-03-11,13.729977116704806
27,2017-01-11-2017-02-11 報酬率:7.21% 本金:1808103.4109999998,,2015-02-12,1.0084285991979665,-1.276437664574459,6261,83.0,64.5,68.4,64.5,68.4,2015-02-11,2015-03-11,6.046511627906992
28,2017-02-11-2017-03-11 報酬率:2.78% 本金:1853435.481,,2015-02-13,1.0063929974852914,-1.4757198474986688,2449,82.0,26.6,29.3,26.45,29.6,2015-02-11,2015-03-11,10.15037593984962
29,2017-03-11-2017-04-01 報酬率:0.98% 本金:1870096.461,,2015-02-24,1.0283468745619206,0.0,2597,82.0,64.3,67.0,64.3,68.2,2015-02-11,2015-03-11,4.199066874028001
30,2017-04-01-2017-04-11 報酬率:1.02% 本金:1887748.0709999998,,2015-02-25,1.0327429593916269,0.0,2915,86.0,65.2,67.7,65.2,68.5,2015-03-11,2015-04-01,3.834355828220848
31,2017-04-11-2017-05-16 報酬率:0.22% 本金:1891471.1309999998,,2015-02-26,1.0302598361999635,-0.24043961462841823,9943,85.0,41.2,42.85,41.2,44.2,2015-03-11,2015-04-01,4.0048543689320315
32,2017-05-16-2017-06-11 報酬率:1.23% 本金:1912115.451,,2015-03-02,1.0271860311446745,-0.5380746677010273,2542,82.0,66.0,74.2,66.0,74.2,2015-03-11,2015-04-01,12.424242424242426
33,2017-06-11-2017-07-11 報酬率:-1.64% 本金:1885207.807,,2015-03-03,1.0398491690012333,0.0,1535,81.0,69.0,76.3,69.0,77.5,2015-03-11,2015-04-01,10.579710144927535
34,2017-07-11-2017-08-15 報酬率:0.52% 本金:1893731.7510000002,,2015-03-04,1.0398860334140487,0.0,2455,81.0,38.7,38.1,36.9,40.7,2015-03-11,2015-04-01,-1.5503875968992276
35,2017-08-15-2017-09-11 報酬率:9.8% 本金:2067823.8510000003,,2015-03-05,1.056153310631911,0.0,3105,81.0,41.0,40.8,38.2,43.5,2015-03-11,2015-04-01,-0.487804878048792
